geoid,county,service,parcels
05000US19001,Adair,https://wfs.schneidercorp.com/arcgis/rest/services/AdairCountyIA_WFS/MapServer,https://wfs.schneidercorp.com/arcgis/rest/services/AdairCountyIA_WFS/MapServer/0
05000US19003,Adams,,
05000US19005,Allamakee,,
05000US19007,Appanoose,,
05000US19009,Audubon,,
05000US19011,Benton,https://wfs.schneidercorp.com/arcgis/rest/services/BentonCountyIA_WFS/MapServer,https://wfs.schneidercorp.com/arcgis/rest/services/BentonCountyIA_WFS/MapServer/0
05000US19013,Black Hawk,https://services5.arcgis.com/ya62ECiavqTkK0wv/arcgis/rest/services,https://services5.arcgis.com/ya62ECiavqTkK0wv/arcgis/rest/services/ParcelData/FeatureServer
05000US19015,Boone,,
05000US19017,Bremer,,
05000US19019,Buchanan,,
05000US19021,Buena Vista,https://wfs.schneidercorp.com/arcgis/rest/services/BuenaVistaCountyIA_WFS/MapServer,https://wfs.schneidercorp.com/arcgis/rest/services/BuenaVistaCountyIA_WFS/MapServer/1
05000US19023,Butler,https://services.arcgis.com/4YineAQdtmx0tv46/ArcGIS/rest/services/ButlerIAFeatures/FeatureServer,https://services.arcgis.com/4YineAQdtmx0tv46/ArcGIS/rest/services/ButlerIAFeatures/FeatureServer/3
05000US19025,Calhoun,,
05000US19027,Carroll,,
05000US19029,Cass,https://wfs.schneidercorp.com/arcgis/rest/services/CassCountyIA_WFS/MapServer,https://wfs.schneidercorp.com/arcgis/rest/services/CassCountyIA_WFS/MapServer/0
05000US19031,Cedar,,
05000US19033,Cerro Gordo,https://wfs.schneidercorp.com/arcgis/rest/services/CerroGordoCountyIA_WFS/MapServer,https://wfs.schneidercorp.com/arcgis/rest/services/CerroGordoCountyIA_WFS/MapServer/0
05000US19035,Cherokee,,
05000US19037,Chickasaw,https://wfs.schneidercorp.com/arcgis/rest/services/ChickasawCountyIA_WFS/MapServer,https://wfs.schneidercorp.com/arcgis/rest/services/ChickasawCountyIA_WFS/MapServer/0
05000US19039,Clarke,,
05000US19041,Clay,,
05000US19043,Clayton,,
05000US19045,Clinton,,
05000US19047,Crawford,https://services3.arcgis.com/uwUOPltmS5vV1WmH/ArcGIS/rest/services/CrawfordIAFeatures/FeatureServer,https://services3.arcgis.com/uwUOPltmS5vV1WmH/ArcGIS/rest/services/CrawfordIAFeatures/FeatureServer/6
05000US19049,Dallas,https://gis.dallascountyiowa.gov/arcgis/rest/services,https://gis.dallascountyiowa.gov/arcgis/rest/services/Assessor/AssessorData/MapServer/88
05000US19051,Davis,,
05000US19053,Decatur,https://services.arcgis.com/4YineAQdtmx0tv46/ArcGIS/rest/services/DecaturIAFeatures/FeatureServer,https://services.arcgis.com/4YineAQdtmx0tv46/ArcGIS/rest/services/DecaturIAFeatures/FeatureServer/3
05000US19055,Delaware,https://wfs.schneidercorp.com/arcgis/rest/services/DelawareCountyIA_WFS/MapServer,https://wfs.schneidercorp.com/arcgis/rest/services/DelawareCountyIA_WFS/MapServer/2
05000US19057,Des Moines,https://www.dmcwebgis.com/arcgis/rest/services,https://www.dmcwebgis.com/arcgis/rest/services/Assessor/PropertyClass/MapServer/0
05000US19059,Dickinson,,
05000US19061,Dubuque,https://gis.dbqco.org/arcgis/rest/services,https://gis.dbqco.org/arcgis/rest/services/Assessor/Reappraisal/MapServer
05000US19063,Emmet,,
05000US19065,Fayette,,
05000US19067,Floyd,,
05000US19069,Franklin,,
05000US19071,Fremont,,
05000US19073,Greene,,
05000US19075,Grundy,https://services7.arcgis.com/gdl6d769M9WXfbgM/arcgis/rest/services,https://services7.arcgis.com/gdl6d769M9WXfbgM/arcgis/rest/services/Grundy_County_Parcels/FeatureServer
05000US19077,Guthrie,,
05000US19079,Hamilton,,
05000US19081,Hancock,,
05000US19083,Hardin,https://wfs.schneidercorp.com/arcgis/rest/services/HardinCountyIA_AGS/MapServer,https://wfs.schneidercorp.com/arcgis/rest/services/HardinCountyIA_AGS/MapServer/37
05000US19085,Harrison,https://wfs.schneidercorp.com/arcgis/rest/services/HarrisonCountyIA_WFS/MapServer,https://wfs.schneidercorp.com/arcgis/rest/services/HarrisonCountyIA_WFS/MapServer/0
05000US19087,Henry,,
05000US19089,Howard,,
05000US19091,Humboldt,https://wfs.schneidercorp.com/arcgis/rest/services/HumboldtCountyIA_WFS/MapServer,https://wfs.schneidercorp.com/arcgis/rest/services/HumboldtCountyIA_WFS/MapServer/0
05000US19093,Ida,,
05000US19095,Iowa,https://wfs.schneidercorp.com/arcgis/rest/services/IowaCountyIA_WFS/MapServer,https://wfs.schneidercorp.com/arcgis/rest/services/IowaCountyIA_WFS/MapServer/0
05000US19097,Jackson,,
05000US19099,Jasper,,https://services7.arcgis.com/gw2LC2HdjEQbBIyL/ArcGIS/rest/services/County_Parcels_Public_View/FeatureServer/9
05000US19101,Jefferson,https://wfs.schneidercorp.com/arcgis/rest/services/JeffersonCountyIA_WFS/MapServer,https://wfs.schneidercorp.com/arcgis/rest/services/JeffersonCountyIA_WFS/MapServer/37
05000US19103,Johnson,https://gis.johnsoncountyiowa.gov/arcgis/rest/services,https://gis.johnsoncountyiowa.gov/arcgis/rest/services/Parcels_WFS/MapServer/2
05000US19105,Jones,,
05000US19107,Keokuk,,
05000US19109,Kossuth,https://services.arcgis.com/4YineAQdtmx0tv46/ArcGIS/rest/services/KossuthIAFeatures/FeatureServer,https://services.arcgis.com/4YineAQdtmx0tv46/ArcGIS/rest/services/KossuthIAFeatures/FeatureServer/6
05000US19111,Lee,,
05000US19113,Linn,https://gis.linncountyiowa.gov/ags/rest/services,https://gis.linncountyiowa.gov/ags/rest/services/RealEstate/mapLandRecords/MapServer/15
05000US19115,Louisa,https://wfs.schneidercorp.com/arcgis/rest/services/LouisaCountyIA_WFS/MapServer,https://wfs.schneidercorp.com/arcgis/rest/services/LouisaCountyIA_WFS/MapServer/0
05000US19117,Lucas,,
05000US19119,Lyon,https://wfs.schneidercorp.com/arcgis/rest/services/LyonCountyIA_WFS/MapServer,https://wfs.schneidercorp.com/arcgis/rest/services/LyonCountyIA_WFS/MapServer/0
05000US19121,Madison,https://maps.dsm.city/p2/rest/services/External,https://maps.dsm.city/p2/rest/services/External/EXTDynamicShowMeMyHouse/MapServer/18
05000US19123,Mahaska,,https://services7.arcgis.com/gw2LC2HdjEQbBIyL/ArcGIS/rest/services/County_Parcels_Public_View/FeatureServer/7
05000US19125,Marion,,https://services7.arcgis.com/gw2LC2HdjEQbBIyL/ArcGIS/rest/services/County_Parcels_Public_View/FeatureServer/6
05000US19127,Marshall,https://gis.marshallcountyia.gov/arcgis/rest/services,https://gis.marshallcountyia.gov/arcgis/rest/services/WebParcels/MapServer/0
05000US19129,Mills,https://services1.arcgis.com/20XE3PmEegLQbaze/arcgis/rest/services,https://services1.arcgis.com/20XE3PmEegLQbaze/ArcGIS/rest/services/Parcels/FeatureServer
05000US19131,Mitchell,https://wfs.schneidercorp.com/arcgis/rest/services/MitchellCountyIA_WFS/MapServer,https://wfs.schneidercorp.com/arcgis/rest/services/MitchellCountyIA_WFS/MapServer/0
05000US19133,Monona,,
05000US19135,Monroe,,
05000US19137,Montgomery,,
05000US19139,Muscatine,https://magic-gis.com/arcgis/rest/services,https://magic-gis.com/arcgis/rest/services/MAGIC_Landbase/MuscatineParcels/MapServer
05000US19141,O'Brien,,
05000US19143,Osceola,https://wfs.schneidercorp.com/arcgis/rest/services/OsceolaCountyIA_WFS/MapServer,https://wfs.schneidercorp.com/arcgis/rest/services/OsceolaCountyIA_WFS/MapServer/1
05000US19145,Page,,
05000US19147,Palo Alto,,
05000US19149,Plymouth,,
05000US19151,Pocahontas,,
05000US19153,Polk,https://maps.dsm.city/p2/rest/services/External,https://maps.dsm.city/p2/rest/services/External/EXTDynamicShowMeMyHouse/MapServer/18
05000US19155,Pottawattamie,https://gis.pottcounty-ia.gov/arcgis/rest/services,https://gis.pottcounty-ia.gov/arcgis/rest/services/OpenData/MapServer/0
05000US19157,Poweshiek,,https://services7.arcgis.com/gw2LC2HdjEQbBIyL/ArcGIS/rest/services/County_Parcels_Public_View/FeatureServer/8
05000US19159,Ringgold,,
05000US19161,Sac,,
05000US19163,Scott,https://services.arcgis.com/ovln19YRWV44nBqV/arcgis/rest/services/,https://services.arcgis.com/ovln19YRWV44nBqV/ArcGIS/rest/services/Cadastral/FeatureServer/3
05000US19165,Shelby,,
05000US19167,Sioux,,
05000US19169,Story,https://apps.storycounty.com/arcgis/rest/services,https://apps.storycounty.com/arcgis/rest/services/parcels/MapServer
05000US19171,Tama,,
05000US19173,Taylor,,
05000US19175,Union,,
05000US19177,Van Buren,,
05000US19179,Wapello,https://wfs.schneidercorp.com/arcgis/rest/services/WapelloCountyIA_WFS/MapServer,https://wfs.schneidercorp.com/arcgis/rest/services/WapelloCountyIA_WFS/MapServer/0
05000US19181,Warren,https://maps.dsm.city/p2/rest/services/External,https://maps.dsm.city/p2/rest/services/External/EXTDynamicShowMeMyHouse/MapServer/18
05000US19183,Washington,,
05000US19185,Wayne,,
05000US19187,Webster,,
05000US19189,Winnebago,https://wfs.schneidercorp.com/arcgis/rest/services/WinnebagoCountyIA_WFS/MapServer,https://wfs.schneidercorp.com/arcgis/rest/services/WinnebagoCountyIA_WFS/MapServer/12
05000US19191,Winneshiek,,
05000US19193,Woodbury,,
05000US19195,Worth,https://wfs.schneidercorp.com/arcgis/rest/services/WorthCountyIA_WFS/MapServer,https://wfs.schneidercorp.com/arcgis/rest/services/WorthCountyIA_WFS/MapServer/0
05000US19197,Wright,https://wfs.schneidercorp.com/arcgis/rest/services/WrightCountyIA_WFS/MapServer,https://wfs.schneidercorp.com/arcgis/rest/services/WrightCountyIA_WFS/MapServer/2